responseTimeMs,speedKBps,isSuccess,label
5,204800.00,true,NORMAL
6,170666.67,true,NORMAL
7,146285.71,true,NORMAL
10,102400.00,true,NORMAL
5,204800.00,true,NORMAL
6,170666.67,true,NORMAL
5,204800.00,true,NORMAL
5,204800.00,true,NORMAL
6,170666.67,true,NORMAL
5,204800.00,true,NORMAL
5,204800.00,true,NORMAL
7,146285.71,true,NORMAL
5,204800.00,true,NORMAL
5,204800.00,true,NORMAL
6,170666.67,true,NORMAL
6,170666.67,true,NORMAL
6,170666.67,true,NORMAL
5,204800.00,true,NORMAL
15,68266.67,true,NORMAL
12,85333.33,true,NORMAL
5,204800.00,true,NORMAL
6,170666.67,true,NORMAL
8,128000.00,true,NORMAL
7,146285.71,true,NORMAL
7,146285.71,true,NORMAL
6,170666.67,true,NORMAL
8,128000.00,true,NORMAL
6,170666.67,true,NORMAL
5,204800.00,true,NORMAL
10,102400.00,true,NORMAL
9,113777.78,true,NORMAL
9,113777.78,true,NORMAL
15,68266.67,true,NORMAL
6,170666.67,true,NORMAL
6,170666.67,true,NORMAL
8,128000.00,true,NORMAL
8,128000.00,true,NORMAL
4,256000.00,true,NORMAL
6,170666.67,true,NORMAL
10,102400.00,true,NORMAL
8,128000.00,true,NORMAL
7,146285.71,true,NORMAL
8,128000.00,true,NORMAL
6,170666.67,true,NORMAL
8,128000.00,true,NORMAL
7,146285.71,true,NORMAL
8,128000.00,true,NORMAL
8,128000.00,true,NORMAL
7,146285.71,true,NORMAL
6,170666.67,true,NORMAL
7,146285.71,true,NORMAL
9,113777.78,true,NORMAL
7,146285.71,true,NORMAL
9,113777.78,true,NORMAL
7,146285.71,true,NORMAL
7,146285.71,true,NORMAL
6,170666.67,true,NORMAL
7,146285.71,true,NORMAL
8,128000.00,true,NORMAL
7,146285.71,true,NORMAL
5,204800.00,true,NORMAL
7,146285.71,true,NORMAL
7,146285.71,true,NORMAL
7,146285.71,true,NORMAL
7,146285.71,true,NORMAL
8,128000.00,true,NORMAL
7,146285.71,true,NORMAL
8,128000.00,true,NORMAL
5,204800.00,true,NORMAL
6,170666.67,true,NORMAL
23,44521.74,true,NORMAL
24,42666.67,true,NORMAL
23,44521.74,true,NORMAL
4,256000.00,true,NORMAL
8,128000.00,true,NORMAL
6,170666.67,true,NORMAL
7,146285.71,true,NORMAL
7,146285.71,true,NORMAL
5,204800.00,true,NORMAL
6,170666.67,true,NORMAL
6,170666.67,true,NORMAL
6,170666.67,true,NORMAL
6,170666.67,true,NORMAL
6,170666.67,true,NORMAL
7,146285.71,true,NORMAL
5,204800.00,true,NORMAL
5,204800.00,true,NORMAL
6,170666.67,true,NORMAL
6,170666.67,true,NORMAL
17,60235.29,true,NORMAL
39,26256.41,true,NORMAL
6,170666.67,true,NORMAL
12,85333.33,true,NORMAL
26,39384.62,true,NORMAL
2,512000.00,true,NORMAL
5,204800.00,true,NORMAL
6,170666.67,true,NORMAL
3,341333.33,true,NORMAL
3,341333.33,true,NORMAL
5,204800.00,true,NORMAL
12,85333.33,true,NORMAL
12,85333.33,true,NORMAL
4,256000.00,true,NORMAL
3,341333.33,true,NORMAL
4,256000.00,true,NORMAL
5,204800.00,true,NORMAL
4,256000.00,true,NORMAL
4,256000.00,true,NORMAL
3,341333.33,true,NORMAL
7,146285.71,true,NORMAL
5,204800.00,true,NORMAL
5,204800.00,true,NORMAL
6,170666.67,true,NORMAL
4,256000.00,true,NORMAL
4,256000.00,true,NORMAL
6,170666.67,true,NORMAL
6,170666.67,true,NORMAL
4,256000.00,true,NORMAL
3,341333.33,true,NORMAL
4,256000.00,true,NORMAL
3,341333.33,true,NORMAL
4,256000.00,true,NORMAL
8,128000.00,true,NORMAL
14,73142.86,true,NORMAL
16,64000.00,true,NORMAL
7,146285.71,true,NORMAL
5,204800.00,true,NORMAL
2,512000.00,true,NORMAL
4,256000.00,true,NORMAL
6,170666.67,true,NORMAL
6,170666.67,true,NORMAL
5,204800.00,true,NORMAL
4,256000.00,true,NORMAL
2,499318.85,true,NORMAL
8,128000.00,true,NORMAL
5,204800.00,true,NORMAL
8,128000.00,true,NORMAL
10,102400.00,true,NORMAL
3,341333.33,true,NORMAL
15,68266.67,true,NORMAL
14,73142.86,true,NORMAL
4,256000.00,true,NORMAL
5,204800.00,true,NORMAL
5,204800.00,true,NORMAL
13,78769.23,true,NORMAL
12,85333.33,true,NORMAL
13,78769.23,true,NORMAL
13,78769.23,true,NORMAL
11,93090.91,true,NORMAL
4,256000.00,true,NORMAL
4,256000.00,true,NORMAL
5,204800.00,true,NORMAL
5,204800.00,true,NORMAL
6,170666.67,true,NORMAL
4,256000.00,true,NORMAL
4,256000.00,true,NORMAL
4,256000.00,true,NORMAL
6,170666.67,true,NORMAL
6,170666.67,true,NORMAL
4,256000.00,true,NORMAL
5,204800.00,true,NORMAL
5,204800.00,true,NORMAL
5,204800.00,true,NORMAL
6,170666.67,true,NORMAL
6,170666.67,true,NORMAL
6,170666.67,true,NORMAL
6,170666.67,true,NORMAL
9,113777.78,true,NORMAL
7,146285.71,true,NORMAL
5,204800.00,true,NORMAL
6,170666.67,true,NORMAL
6,170666.67,true,NORMAL
5,204800.00,true,NORMAL
6,170666.67,true,NORMAL
4,256000.00,true,NORMAL
5,204800.00,true,NORMAL
5,204800.00,true,NORMAL
5,204800.00,true,NORMAL
5,204800.00,true,NORMAL
4,256000.00,true,NORMAL
8,128000.00,true,NORMAL
8,128000.00,true,NORMAL
8,128000.00,true,NORMAL
7,146285.71,true,NORMAL
5,204800.00,true,NORMAL
4,256000.00,true,NORMAL
6,166439.62,true,NORMAL
6,170666.67,true,NORMAL
7,146285.71,true,NORMAL
14,73142.86,true,NORMAL
9,113777.78,true,NORMAL
26,39384.62,true,NORMAL
27,37925.93,true,NORMAL
39,26256.41,true,NORMAL
8,128000.00,true,NORMAL
12,85333.33,true,NORMAL
12,85333.33,true,NORMAL
13,78769.23,true,NORMAL
17,60235.29,true,NORMAL
5,204800.00,true,NORMAL
7,146285.71,true,NORMAL
6,170666.67,true,NORMAL
26,39384.62,true,NORMAL
18,56888.89,true,NORMAL
37,27675.68,true,NORMAL
18,56888.89,true,NORMAL
14,73142.86,true,NORMAL
19,53894.74,true,NORMAL
20,51200.00,true,NORMAL
13,78769.23,true,NORMAL
16,64000.00,true,NORMAL
13,78769.23,true,NORMAL
18,56888.89,true,NORMAL
11,93090.91,true,NORMAL
23,44521.74,true,NORMAL
14,73142.86,true,NORMAL
14,73142.86,true,NORMAL
8,128000.00,true,NORMAL
9,113777.78,true,NORMAL
10,102400.00,true,NORMAL
8,128000.00,true,NORMAL
7,146285.71,true,NORMAL
6,170666.67,true,NORMAL
8,128000.00,true,NORMAL
7,146285.71,true,NORMAL
6,170666.67,true,NORMAL
8,128000.00,true,NORMAL
8,128000.00,true,NORMAL
9,113777.78,true,NORMAL
9,113777.78,true,NORMAL
8,128000.00,true,NORMAL
9,113777.78,true,NORMAL
7,146285.71,true,NORMAL
8,128000.00,true,NORMAL
9,113777.78,true,NORMAL
10,102400.00,true,NORMAL
11,93090.91,true,NORMAL
6,166439.62,true,NORMAL
7,146285.71,true,NORMAL
8,128000.00,true,NORMAL
8,128000.00,true,NORMAL
9,113777.78,true,NORMAL
7,146285.71,true,NORMAL
8,128000.00,true,NORMAL
8,128000.00,true,NORMAL
7,146285.71,true,NORMAL
7,146285.71,true,NORMAL
8,128000.00,true,NORMAL
9,113777.78,true,NORMAL
10,102400.00,true,NORMAL
6,170666.67,true,NORMAL
10,102400.00,true,NORMAL
8,128000.00,true,NORMAL
9,113777.78,true,NORMAL
10,102400.00,true,NORMAL
8,128000.00,true,NORMAL
7,146285.71,true,NORMAL
8,128000.00,true,NORMAL
7,146285.71,true,NORMAL
9,113777.78,true,NORMAL
7,146285.71,true,NORMAL
8,128000.00,true,NORMAL
8,128000.00,true,NORMAL
9,113777.78,true,NORMAL
8,128000.00,true,NORMAL
7,146285.71,true,NORMAL
8,128000.00,true,NORMAL
9,113777.78,true,NORMAL
10,102400.00,true,NORMAL
11,93090.91,true,NORMAL
8,128000.00,true,NORMAL
10,102400.00,true,NORMAL
7,146285.71,true,NORMAL
8,128000.00,true,NORMAL
8,128000.00,true,NORMAL
7,146285.71,true,NORMAL
7,146285.71,true,NORMAL
8,128000.00,true,NORMAL
9,113777.78,true,NORMAL
